[34m[1mwandb[0m: [wandb.login()] Loaded credentials for https://api.wandb.ai from C:\Users\Ahmed\_netrc.
[34m[1mwandb[0m: W&B API key is configured. Use [1m`wandb login --relogin`[0m to force relogin
[34m[1mwandb[0m: [38;5;178m⢿[0m setting up run yy4bgdei (0.0s)
[Am[2K[34m[1mwandb[0m: [38;5;178m⣻[0m setting up run yy4bgdei (0.0s)
[Am[2K[34m[1mwandb[0m: [38;5;178m⣽[0m setting up run yy4bgdei (0.0s)
[Am[2K[34m[1mwandb[0m: [38;5;178m⣾[0m setting up run yy4bgdei (0.0s)
[Am[2K[34m[1mwandb[0m: [38;5;178m⣷[0m setting up run yy4bgdei (0.5s)
[Am[2K[34m[1mwandb[0m: [38;5;178m⣯[0m setting up run yy4bgdei (0.5s)
[Am[2K[34m[1mwandb[0m: Tracking run with wandb version 0.27.2
[34m[1mwandb[0m: Run data is saved locally in [35m[1mruns\arch_no_key_offset\wandb\wandb\run-20260710_082910-yy4bgdei[0m
[34m[1mwandb[0m: Run [1m`wandb offline`[0m to turn off syncing.
[34m[1mwandb[0m: Syncing run [33march_no_key_offset[0m
[34m[1mwandb[0m:  View project at [34m[4mhttps://wandb.ai/i-learn/slowrun[0m
[34m[1mwandb[0m:  View run at [34m[4mhttps://wandb.ai/i-learn/slowrun/runs/yy4bgdei[0m
--- Hyperparameters ---
  n_layer=4, n_embd=512, n_head=8, head_dim=64
  seq_len=2048, window_pattern=SSSL
  total_batch_size=16384, device_batch_size=2
  matrix_lr=0.032, scalar_lr=0.2, embedding_lr=0.12, unembedding_lr=0.0008
  weight_decay=0.8, adam_betas=(0.8, 0.95)
  warmup_ratio=0.0, warmdown_ratio=0.6, final_lr_frac=0.0
  num_epochs=16, patience=-1
  dropout=0.1
  doc_shuffle=True
  ema_every=10, swa_last_epochs=4
  optimizer=Muon (matrices) + AdamW (embed/scalars)
  --- Architecture Ablation Flags ---
  no_attn_gate=False, attn_gate_variant=sigmoid
  no_skip_connections=False
  no_value_residual=False
  no_key_offset=True
  rope_variant=half
  run=arch_no_key_offset
  run_dir=runs\arch_no_key_offset
-----------------------
Vocab size: 50,257
Padding vocab_size from 50257 to 50304
Parameters: 65,667,978 (transformer: 13,632,384, value_embeds: 524,288, lm_head: 25,755,648, other: 25,755,658)
FLOPs per token: 2.599380e+08
Skipping torch.compile due to Windows/Inductor compiler limitations
Batch size: 16,384 tokens, grad accum: 4 steps
Training set: 9,994,240 tokens per epoch (2,440 micro-batches per epoch, ~610 optimizer steps per epoch)
Training for 16 epoch(s) (~9760 optimizer steps estimated)
Eval set: 999,424 tokens (244 steps)
Step 00000 | Val BPB: 3.510183 | Val Loss: 10.825293
step 00001 (0.01%) | loss: 10.825335 | dt: 2528.74ms | tok/sec: 6,479 | mfu: 27.41%
step 00002 (0.02%) | loss: 10.796258 | dt: 2331.85ms | tok/sec: 7,026 | mfu: 29.73%
step 00003 (0.03%) | loss: 10.766831 | dt: 2474.77ms | tok/sec: 6,620 | mfu: 28.01%
step 00004 (0.04%) | loss: 10.683069 | dt: 2338.42ms | tok/sec: 7,006 | mfu: 29.64% | eta: 380.2m
step 00005 (0.05%) | loss: 10.541949 | dt: 2441.20ms | tok/sec: 6,711 | mfu: 28.39% | eta: 388.5m
step 00006 (0.06%) | loss: 10.373169 | dt: 2346.91ms | tok/sec: 6,981 | mfu: 29.53% | eta: 386.2m
step 00007 (0.07%) | loss: 10.144900 | dt: 2435.27ms | tok/sec: 6,727 | mfu: 28.46% | eta: 388.6m
step 00008 (0.08%) | loss: 9.946348 | dt: 2338.21ms | tok/sec: 7,007 | mfu: 29.64% | eta: 386.8m
step 00009 (0.09%) | loss: 9.722769 | dt: 2347.48ms | tok/sec: 6,979 | mfu: 29.53% | eta: 385.9m
step 00010 (0.10%) | loss: 9.522416 | dt: 2403.14ms | tok/sec: 6,817 | mfu: 28.84% | eta: 386.5m
step 00011 (0.11%) | loss: 9.336309 | dt: 2328.94ms | tok/sec: 7,034 | mfu: 29.76% | eta: 385.5m
step 00012 (0.12%) | loss: 9.155000 | dt: 2428.45ms | tok/sec: 6,746 | mfu: 28.54% | eta: 386.5m
step 00013 (0.13%) | loss: 8.946372 | dt: 2330.24ms | tok/sec: 7,031 | mfu: 29.75% | eta: 385.6m
step 00014 (0.14%) | loss: 8.818560 | dt: 2429.90ms | tok/sec: 6,742 | mfu: 28.52% | eta: 386.4m
step 00015 (0.15%) | loss: 8.674458 | dt: 2330.26ms | tok/sec: 7,030 | mfu: 29.74% | eta: 385.7m
step 00016 (0.16%) | loss: 8.555824 | dt: 2425.60ms | tok/sec: 6,754 | mfu: 28.57% | eta: 386.3m
step 00017 (0.17%) | loss: 8.462106 | dt: 2329.46ms | tok/sec: 7,033 | mfu: 29.75% | eta: 385.7m
step 00018 (0.18%) | loss: 8.356580 | dt: 2447.32ms | tok/sec: 6,694 | mfu: 28.32% | eta: 386.4m
step 00019 (0.19%) | loss: 8.196802 | dt: 2330.19ms | tok/sec: 7,031 | mfu: 29.75% | eta: 385.9m
step 00020 (0.20%) | loss: 8.129637 | dt: 2409.99ms | tok/sec: 6,798 | mfu: 28.76% | eta: 386.2m
step 00021 (0.22%) | loss: 8.055719 | dt: 2341.12ms | tok/sec: 6,998 | mfu: 29.61% | eta: 385.8m
step 00022 (0.23%) | loss: 7.959026 | dt: 2424.15ms | tok/sec: 6,758 | mfu: 28.59% | eta: 386.2m
step 00023 (0.24%) | loss: 7.879913 | dt: 2338.03ms | tok/sec: 7,007 | mfu: 29.64% | eta: 385.8m
step 00024 (0.25%) | loss: 7.783012 | dt: 2332.40ms | tok/sec: 7,024 | mfu: 29.72% | eta: 385.4m
step 00025 (0.26%) | loss: 7.724582 | dt: 2442.36ms | tok/sec: 6,708 | mfu: 28.38% | eta: 385.9m
step 00026 (0.27%) | loss: 7.707026 | dt: 2328.46ms | tok/sec: 7,036 | mfu: 29.77% | eta: 385.5m
step 00027 (0.28%) | loss: 7.625157 | dt: 2410.86ms | tok/sec: 6,795 | mfu: 28.75% | eta: 385.7m
step 00028 (0.29%) | loss: 7.527942 | dt: 2328.16ms | tok/sec: 7,037 | mfu: 29.77% | eta: 385.3m
step 00029 (0.30%) | loss: 7.477644 | dt: 2456.30ms | tok/sec: 6,670 | mfu: 28.22% | eta: 385.8m
step 00030 (0.31%) | loss: 7.422500 | dt: 2327.14ms | tok/sec: 7,040 | mfu: 29.78% | eta: 385.4m
step 00031 (0.32%) | loss: 7.378365 | dt: 2435.01ms | tok/sec: 6,728 | mfu: 28.46% | eta: 385.7m
step 00032 (0.33%) | loss: 7.346214 | dt: 2327.76ms | tok/sec: 7,038 | mfu: 29.78% | eta: 385.4m
step 00033 (0.34%) | loss: 7.331952 | dt: 2426.70ms | tok/sec: 6,751 | mfu: 28.56% | eta: 385.6m
step 00034 (0.35%) | loss: 7.254760 | dt: 2330.46ms | tok/sec: 7,030 | mfu: 29.74% | eta: 385.3m
step 00035 (0.36%) | loss: 7.232939 | dt: 2435.23ms | tok/sec: 6,727 | mfu: 28.46% | eta: 385.6m
step 00036 (0.37%) | loss: 7.209102 | dt: 2332.96ms | tok/sec: 7,022 | mfu: 29.71% | eta: 385.3m
step 00037 (0.38%) | loss: 7.180212 | dt: 2364.57ms | tok/sec: 6,928 | mfu: 29.31% | eta: 385.2m
step 00038 (0.39%) | loss: 7.154547 | dt: 2397.55ms | tok/sec: 6,833 | mfu: 28.91% | eta: 385.3m
step 00039 (0.40%) | loss: 7.135300 | dt: 2336.33ms | tok/sec: 7,012 | mfu: 29.67% | eta: 385.0m
step 00040 (0.41%) | loss: 7.152970 | dt: 2455.32ms | tok/sec: 6,672 | mfu: 28.23% | eta: 385.3m
step 00041 (0.42%) | loss: 7.123635 | dt: 2338.44ms | tok/sec: 7,006 | mfu: 29.64% | eta: 385.1m
step 00042 (0.43%) | loss: 7.085296 | dt: 2437.82ms | tok/sec: 6,720 | mfu: 28.43% | eta: 385.3m
step 00043 (0.44%) | loss: 7.110000 | dt: 2331.51ms | tok/sec: 7,027 | mfu: 29.73% | eta: 385.1m
step 00044 (0.45%) | loss: 7.080524 | dt: 2431.66ms | tok/sec: 6,737 | mfu: 28.50% | eta: 385.3m
step 00045 (0.46%) | loss: 7.022598 | dt: 2333.55ms | tok/sec: 7,021 | mfu: 29.70% | eta: 385.1m
step 00046 (0.47%) | loss: 6.998764 | dt: 2420.55ms | tok/sec: 6,768 | mfu: 28.63% | eta: 385.2m
step 00047 (0.48%) | loss: 6.966328 | dt: 2334.18ms | tok/sec: 7,019 | mfu: 29.70% | eta: 385.0m
step 00048 (0.49%) | loss: 6.961503 | dt: 2404.33ms | tok/sec: 6,814 | mfu: 28.83% | eta: 385.0m
step 00049 (0.50%) | loss: 7.031131 | dt: 2329.68ms | tok/sec: 7,032 | mfu: 29.75% | eta: 384.8m
step 00050 (0.51%) | loss: 6.957760 | dt: 2439.99ms | tok/sec: 6,714 | mfu: 28.41% | eta: 385.0m
step 00051 (0.52%) | loss: 6.946247 | dt: 2338.22ms | tok/sec: 7,007 | mfu: 29.64% | eta: 384.8m
step 00052 (0.53%) | loss: 6.935691 | dt: 2338.06ms | tok/sec: 7,007 | mfu: 29.64% | eta: 384.7m
step 00053 (0.54%) | loss: 6.938296 | dt: 2436.79ms | tok/sec: 6,723 | mfu: 28.44% | eta: 384.8m
step 00054 (0.55%) | loss: 6.949012 | dt: 2331.21ms | tok/sec: 7,028 | mfu: 29.73% | eta: 384.6m
step 00055 (0.56%) | loss: 6.923770 | dt: 2446.40ms | tok/sec: 6,697 | mfu: 28.33% | eta: 384.8m
step 00056 (0.57%) | loss: 6.910362 | dt: 2341.12ms | tok/sec: 6,998 | mfu: 29.61% | eta: 384.6m
step 00057 (0.58%) | loss: 6.909886 | dt: 2433.23ms | tok/sec: 6,733 | mfu: 28.49% | eta: 384.8m
step 00058 (0.59%) | loss: 6.847879 | dt: 2332.45ms | tok/sec: 7,024 | mfu: 29.72% | eta: 384.6m
step 00059 (0.60%) | loss: 6.849894 | dt: 2412.46ms | tok/sec: 6,791 | mfu: 28.73% | eta: 384.6m
step 00060 (0.61%) | loss: 6.851493 | dt: 2339.40ms | tok/sec: 7,003 | mfu: 29.63% | eta: 384.5m
step 00061 (0.62%) | loss: 6.849462 | dt: 2459.64ms | tok/sec: 6,661 | mfu: 28.18% | eta: 384.7m
step 00062 (0.64%) | loss: 6.900032 | dt: 2331.83ms | tok/sec: 7,026 | mfu: 29.73% | eta: 384.5m
step 00063 (0.65%) | loss: 6.895639 | dt: 2416.48ms | tok/sec: 6,780 | mfu: 28.68% | eta: 384.6m
step 00064 (0.66%) | loss: 6.888844 | dt: 2332.51ms | tok/sec: 7,024 | mfu: 29.72% | eta: 384.4m
step 00065 (0.67%) | loss: 6.849508 | dt: 2440.16ms | tok/sec: 6,714 | mfu: 28.41% | eta: 384.5m
step 00066 (0.68%) | loss: 6.797260 | dt: 2332.80ms | tok/sec: 7,023 | mfu: 29.71% | eta: 384.4m
step 00067 (0.69%) | loss: 6.736784 | dt: 2334.65ms | tok/sec: 7,017 | mfu: 29.69% | eta: 384.2m
step 00068 (0.70%) | loss: 6.719109 | dt: 2433.93ms | tok/sec: 6,731 | mfu: 28.48% | eta: 384.3m
step 00069 (0.71%) | loss: 6.720705 | dt: 2332.26ms | tok/sec: 7,024 | mfu: 29.72% | eta: 384.2m
step 00070 (0.72%) | loss: 6.748452 | dt: 2432.09ms | tok/sec: 6,736 | mfu: 28.50% | eta: 384.2m
step 00071 (0.73%) | loss: 6.732745 | dt: 2333.66ms | tok/sec: 7,020 | mfu: 29.70% | eta: 384.1m
step 00072 (0.74%) | loss: 6.727554 | dt: 2456.44ms | tok/sec: 6,669 | mfu: 28.21% | eta: 384.2m
step 00073 (0.75%) | loss: 6.724979 | dt: 2338.25ms | tok/sec: 7,006 | mfu: 29.64% | eta: 384.1m
step 00074 (0.76%) | loss: 6.729038 | dt: 2443.44ms | tok/sec: 6,705 | mfu: 28.37% | eta: 384.2m
step 00075 (0.77%) | loss: 6.755370 | dt: 2331.36ms | tok/sec: 7,027 | mfu: 29.73% | eta: 384.1m
step 00076 (0.78%) | loss: 6.688804 | dt: 2347.90ms | tok/sec: 6,978 | mfu: 29.52% | eta: 384.0m
step 00077 (0.79%) | loss: 6.700507 | dt: 2404.32ms | tok/sec: 6,814 | mfu: 28.83% | eta: 384.0m
step 00078 (0.80%) | loss: 6.683344 | dt: 2327.25ms | tok/sec: 7,040 | mfu: 29.78% | eta: 383.8m
step 00079 (0.81%) | loss: 6.648876 | dt: 2444.17ms | tok/sec: 6,703 | mfu: 28.36% | eta: 383.9m
step 00080 (0.82%) | loss: 6.604542 | dt: 2327.26ms | tok/sec: 7,040 | mfu: 29.78% | eta: 383.8m
step 00081 (0.83%) | loss: 6.620843 | dt: 2434.99ms | tok/sec: 6,728 | mfu: 28.46% | eta: 383.8m
step 00082 (0.84%) | loss: 6.693252 | dt: 2328.51ms | tok/sec: 7,036 | mfu: 29.77% | eta: 383.7m
step 00083 (0.85%) | loss: 6.732661 | dt: 2428.60ms | tok/sec: 6,746 | mfu: 28.54% | eta: 383.8m
step 00084 (0.86%) | loss: 6.708485 | dt: 2333.38ms | tok/sec: 7,021 | mfu: 29.70% | eta: 383.6m
step 00085 (0.87%) | loss: 6.676582 | dt: 2448.89ms | tok/sec: 6,690 | mfu: 28.30% | eta: 383.7m
step 00086 (0.88%) | loss: 6.697063 | dt: 2335.43ms | tok/sec: 7,015 | mfu: 29.68% | eta: 383.6m
step 00087 (0.89%) | loss: 6.679843 | dt: 2405.39ms | tok/sec: 6,811 | mfu: 28.82% | eta: 383.6m
step 00088 (0.90%) | loss: 6.689584 | dt: 2332.23ms | tok/sec: 7,025 | mfu: 29.72% | eta: 383.5m
step 00089 (0.91%) | loss: 6.668662 | dt: 2428.81ms | tok/sec: 6,745 | mfu: 28.54% | eta: 383.5m
step 00090 (0.92%) | loss: 6.627024 | dt: 2337.82ms | tok/sec: 7,008 | mfu: 29.65% | eta: 383.4m
step 00091 (0.93%) | loss: 6.589045 | dt: 2335.86ms | tok/sec: 7,014 | mfu: 29.67% | eta: 383.3m
step 00092 (0.94%) | loss: 6.586386 | dt: 2435.78ms | tok/sec: 6,726 | mfu: 28.46% | eta: 383.4m
step 00093 (0.95%) | loss: 6.580126 | dt: 2330.15ms | tok/sec: 7,031 | mfu: 29.75% | eta: 383.2m
step 00094 (0.96%) | loss: 6.572771 | dt: 2435.19ms | tok/sec: 6,728 | mfu: 28.46% | eta: 383.3m
step 00095 (0.97%) | loss: 6.550289 | dt: 2333.44ms | tok/sec: 7,021 | mfu: 29.70% | eta: 383.2m
step 00096 (0.98%) | loss: 6.547429 | dt: 2451.98ms | tok/sec: 6,681 | mfu: 28.27% | eta: 383.3m
step 00097 (0.99%) | loss: 6.497636 | dt: 2333.16ms | tok/sec: 7,022 | mfu: 29.71% | eta: 383.1m
step 00098 (1.00%) | loss: 6.485675 | dt: 2440.00ms | tok/sec: 6,714 | mfu: 28.41% | eta: 383.2m
step 00099 (1.01%) | loss: 6.470198 | dt: 2335.32ms | tok/sec: 7,015 | mfu: 29.68% | eta: 383.1m
step 00100 (1.02%) | loss: 6.489792 | dt: 2429.17ms | tok/sec: 6,744 | mfu: 28.53% | eta: 383.1m
step 00101 (1.03%) | loss: 6.523727 | dt: 2334.33ms | tok/sec: 7,018 | mfu: 29.69% | eta: 383.0m
step 00102 (1.05%) | loss: 6.532606 | dt: 2439.60ms | tok/sec: 6,715 | mfu: 28.41% | eta: 383.1m
step 00103 (1.06%) | loss: 6.518228 | dt: 2338.16ms | tok/sec: 7,007 | mfu: 29.64% | eta: 383.0m
step 00104 (1.07%) | loss: 6.485815 | dt: 2377.35ms | tok/sec: 6,891 | mfu: 29.15% | eta: 382.9m
step 00105 (1.08%) | loss: 6.543971 | dt: 2378.57ms | tok/sec: 6,888 | mfu: 29.14% | eta: 382.9m
step 00106 (1.09%) | loss: 6.569648 | dt: 2329.93ms | tok/sec: 7,031 | mfu: 29.75% | eta: 382.8m
step 00107 (1.10%) | loss: 6.556712 | dt: 2424.50ms | tok/sec: 6,757 | mfu: 28.59% | eta: 382.8m
step 00108 (1.11%) | loss: 6.542060 | dt: 2330.97ms | tok/sec: 7,028 | mfu: 29.73% | eta: 382.7m
step 00109 (1.12%) | loss: 6.557029 | dt: 2429.09ms | tok/sec: 6,744 | mfu: 28.53% | eta: 382.7m
step 00110 (1.13%) | loss: 6.554218 | dt: 2330.21ms | tok/sec: 7,031 | mfu: 29.75% | eta: 382.6m
step 00111 (1.14%) | loss: 6.492182 | dt: 2428.86ms | tok/sec: 6,745 | mfu: 28.54% | eta: 382.7m
step 00112 (1.15%) | loss: 6.478172 | dt: 2330.41ms | tok/sec: 7,030 | mfu: 29.74% | eta: 382.5m
step 00113 (1.16%) | loss: 6.453828 | dt: 2409.83ms | tok/sec: 6,798 | mfu: 28.76% | eta: 382.5m
step 00114 (1.17%) | loss: 6.469694 | dt: 2331.91ms | tok/sec: 7,025 | mfu: 29.72% | eta: 382.4m
step 00115 (1.18%) | loss: 6.476935 | dt: 2407.18ms | tok/sec: 6,806 | mfu: 28.79% | eta: 382.4m
step 00116 (1.19%) | loss: 6.495678 | dt: 2329.86ms | tok/sec: 7,032 | mfu: 29.75% | eta: 382.3m
step 00117 (1.20%) | loss: 6.545974 | dt: 2424.87ms | tok/sec: 6,756 | mfu: 28.58% | eta: 382.4m
step 00118 (1.21%) | loss: 6.491502 | dt: 2333.68ms | tok/sec: 7,020 | mfu: 29.70% | eta: 382.3m
step 00119 (1.22%) | loss: 6.477765 | dt: 2330.67ms | tok/sec: 7,029 | mfu: 29.74% | eta: 382.1m
step 00120 (1.23%) | loss: 6.438484 | dt: 2445.03ms | tok/sec: 6,700 | mfu: 28.35% | eta: 382.2m
step 00121 (1.24%) | loss: 6.448437 | dt: 2338.77ms | tok/sec: 7,005 | mfu: 29.64% | eta: 382.1m
step 00122 (1.25%) | loss: 6.446219 | dt: 2426.45ms | tok/sec: 6,752 | mfu: 28.57% | eta: 382.1m
step 00123 (1.26%) | loss: 6.473613 | dt: 2327.56ms | tok/sec: 7,039 | mfu: 29.78% | eta: 382.0m
step 00124 (1.27%) | loss: 6.492153 | dt: 2443.09ms | tok/sec: 6,706 | mfu: 28.37% | eta: 382.1m
step 00125 (1.28%) | loss: 6.506030 | dt: 2329.93ms | tok/sec: 7,031 | mfu: 29.75% | eta: 382.0m
step 00126 (1.29%) | loss: 6.484231 | dt: 2433.62ms | tok/sec: 6,732 | mfu: 28.48% | eta: 382.0m
step 00127 (1.30%) | loss: 6.479427 | dt: 2336.54ms | tok/sec: 7,012 | mfu: 29.67% | eta: 381.9m
step 00128 (1.31%) | loss: 6.493322 | dt: 2439.81ms | tok/sec: 6,715 | mfu: 28.41% | eta: 381.9m
step 00129 (1.32%) | loss: 6.481328 | dt: 2335.10ms | tok/sec: 7,016 | mfu: 29.68% | eta: 381.8m
step 00130 (1.33%) | loss: 6.476570 | dt: 2442.01ms | tok/sec: 6,709 | mfu: 28.38% | eta: 381.9m
step 00131 (1.34%) | loss: 6.461664 | dt: 2338.05ms | tok/sec: 7,007 | mfu: 29.64% | eta: 381.8m
step 00132 (1.35%) | loss: 6.379785 | dt: 2415.62ms | tok/sec: 6,782 | mfu: 28.69% | eta: 381.8m
step 00133 (1.36%) | loss: 6.383196 | dt: 2343.01ms | tok/sec: 6,992 | mfu: 29.58% | eta: 381.7m
step 00134 (1.37%) | loss: 6.390221 | dt: 2337.28ms | tok/sec: 7,009 | mfu: 29.65% | eta: 381.6m
step 00135 (1.38%) | loss: 6.318964 | dt: 2450.13ms | tok/sec: 6,686 | mfu: 28.29% | eta: 381.7m
step 00136 (1.39%) | loss: 6.347104 | dt: 2327.31ms | tok/sec: 7,039 | mfu: 29.78% | eta: 381.6m
step 00137 (1.40%) | loss: 6.334647 | dt: 2436.38ms | tok/sec: 6,724 | mfu: 28.45% | eta: 381.6m
step 00138 (1.41%) | loss: 6.365745 | dt: 2332.34ms | tok/sec: 7,024 | mfu: 29.72% | eta: 381.5m
step 00139 (1.42%) | loss: 6.423399 | dt: 2464.52ms | tok/sec: 6,647 | mfu: 28.12% | eta: 381.6m
step 00140 (1.43%) | loss: 6.299547 | dt: 2326.61ms | tok/sec: 7,041 | mfu: 29.79% | eta: 381.5m
step 00141 (1.44%) | loss: 6.302302 | dt: 2415.87ms | tok/sec: 6,781 | mfu: 28.69% | eta: 381.5m
step 00142 (1.45%) | loss: 6.291226 | dt: 2330.27ms | tok/sec: 7,030 | mfu: 29.74% | eta: 381.4m
step 00143 (1.47%) | loss: 6.327646 | dt: 2617.10ms | tok/sec: 6,260 | mfu: 26.48% | eta: 381.6m
step 00144 (1.48%) | loss: 6.304566 | dt: 2606.21ms | tok/sec: 6,286 | mfu: 26.59% | eta: 381.8m
step 00145 (1.49%) | loss: 6.292168 | dt: 2662.98ms | tok/sec: 6,152 | mfu: 26.03% | eta: 382.1m
step 00146 (1.50%) | loss: 6.304759 | dt: 2619.50ms | tok/sec: 6,254 | mfu: 26.46% | eta: 382.3m
step 00147 (1.51%) | loss: 6.294074 | dt: 2756.47ms | tok/sec: 5,943 | mfu: 25.14% | eta: 382.7m
step 00148 (1.52%) | loss: 6.321500 | dt: 3198.40ms | tok/sec: 5,122 | mfu: 21.67% | eta: 383.5m
step 00149 (1.53%) | loss: 6.316024 | dt: 3116.18ms | tok/sec: 5,257 | mfu: 22.24% | eta: 384.3m
step 00150 (1.54%) | loss: 6.312132 | dt: 2579.92ms | tok/sec: 6,350 | mfu: 26.87% | eta: 384.5m
step 00151 (1.55%) | loss: 6.316080 | dt: 2814.96ms | tok/sec: 5,820 | mfu: 24.62% | eta: 384.9m
step 00152 (1.56%) | loss: 6.332555 | dt: 2509.72ms | tok/sec: 6,528 | mfu: 27.62% | eta: 384.9m
step 00153 (1.57%) | loss: 6.353994 | dt: 2475.43ms | tok/sec: 6,618 | mfu: 28.00% | eta: 385.0m
step 00154 (1.58%) | loss: 6.361917 | dt: 2527.09ms | tok/sec: 6,483 | mfu: 27.43% | eta: 385.1m
step 00155 (1.59%) | loss: 6.365565 | dt: 2643.62ms | tok/sec: 6,197 | mfu: 26.22% | eta: 385.3m
step 00156 (1.60%) | loss: 6.349955 | dt: 3739.15ms | tok/sec: 4,381 | mfu: 18.53% | eta: 386.6m
step 00157 (1.61%) | loss: 6.324753 | dt: 2801.86ms | tok/sec: 5,847 | mfu: 24.74% | eta: 387.0m
step 00158 (1.62%) | loss: 6.346870 | dt: 2855.03ms | tok/sec: 5,738 | mfu: 24.28% | eta: 387.4m
step 00159 (1.63%) | loss: 6.341138 | dt: 2767.63ms | tok/sec: 5,919 | mfu: 25.04% | eta: 387.7m
step 00160 (1.64%) | loss: 6.286965 | dt: 3450.61ms | tok/sec: 4,748 | mfu: 20.09% | eta: 388.7m
step 00161 (1.65%) | loss: 6.300971 | dt: 2498.12ms | tok/sec: 6,558 | mfu: 27.75% | eta: 388.8m
step 00162 (1.66%) | loss: 6.239562 | dt: 2476.40ms | tok/sec: 6,616 | mfu: 27.99% | eta: 388.8m
step 00163 (1.67%) | loss: 6.198431 | dt: 2459.14ms | tok/sec: 6,662 | mfu: 28.19% | eta: 388.7m
step 00164 (1.68%) | loss: 6.284437 | dt: 2857.72ms | tok/sec: 5,733 | mfu: 24.25% | eta: 389.1m
step 00165 (1.69%) | loss: 6.274938 | dt: 2790.85ms | tok/sec: 5,870 | mfu: 24.83% | eta: 389.4m
step 00166 (1.70%) | loss: 6.289630 | dt: 3391.76ms | tok/sec: 4,830 | mfu: 20.43% | eta: 390.3m
step 00167 (1.71%) | loss: 6.291734 | dt: 2483.20ms | tok/sec: 6,597 | mfu: 27.91% | eta: 390.3m
step 00168 (1.72%) | loss: 6.252577 | dt: 2472.00ms | tok/sec: 6,627 | mfu: 28.04% | eta: 390.3m
step 00169 (1.73%) | loss: 6.240821 | dt: 2728.67ms | tok/sec: 6,004 | mfu: 25.40% | eta: 390.6m
step 00170 (1.74%) | loss: 6.243424 | dt: 3296.89ms | tok/sec: 4,969 | mfu: 21.02% | eta: 391.3m
step 00171 (1.75%) | loss: 6.287085 | dt: 2464.41ms | tok/sec: 6,648 | mfu: 28.13% | eta: 391.3m
step 00172 (1.76%) | loss: 6.269426 | dt: 2453.07ms | tok/sec: 6,678 | mfu: 28.25% | eta: 391.3m
step 00173 (1.77%) | loss: 6.299856 | dt: 2653.11ms | tok/sec: 6,175 | mfu: 26.12% | eta: 391.4m
step 00174 (1.78%) | loss: 6.330749 | dt: 2458.01ms | tok/sec: 6,665 | mfu: 28.20% | eta: 391.4m
step 00175 (1.79%) | loss: 6.370183 | dt: 2481.80ms | tok/sec: 6,601 | mfu: 27.93% | eta: 391.4m
step 00176 (1.80%) | loss: 6.332835 | dt: 3018.05ms | tok/sec: 5,428 | mfu: 22.96% | eta: 391.9m
step 00177 (1.81%) | loss: 6.335704 | dt: 2694.05ms | tok/sec: 6,081 | mfu: 25.73% | eta: 392.1m
